Pressure (kPa)	N0	N1	N2
          0.000	          0.364	          0.364	          5.000
          0.000	          0.364	          0.909	          5.818
          0.000	          1.182	          0.818	          5.909
          0.000	          0.636	          1.455	          8.364
          0.000	          0.818	          1.455	         11.182
          0.000	          2.545	          3.000	         19.273
          0.001	          5.545	          7.091	         40.909
          0.002	          8.182	          9.091	         51.182
          0.003	         11.000	         13.636	         60.182
          0.004	         21.727	         22.545	         68.545
          0.006	         30.818	         30.364	         84.636
          0.010	         36.455	         40.273	         95.455
          0.016	         53.364	         51.545	        110.273
          0.025	         61.636	         62.909	        122.000
          0.040	         75.364	         73.182	        127.273
          0.064	         90.364	         84.455	        138.182
          0.101	        108.455	         97.636	        150.091
          0.161	        169.273	        143.364	        181.455
          0.255	        562.455	        418.000	        355.818
          0.403	        656.182	        472.455	        393.273
          0.602	        685.818	        510.364	        420.364
          0.852	        722.364	        536.364	        421.455
          1.520	        768.091	        560.182	        430.091
          2.533	        793.727	        587.727	        437.364
          3.546	        801.818	        587.455	        447.909
          4.560	        799.182	        607.091	        453.545
          5.573	        805.000	        613.545	        452.000
          6.586	        824.909	        610.091	        452.000
          7.599	        817.091	        619.455	        452.455
          8.613	        825.909	        624.091	        460.091
          9.626	        822.818	        630.818	        455.636
